feature_extractor,4205,0,500
feature_extractor,5064,0,503
feature_extractor,5631,0,545
feature_extractor,5324,0,510
feature_extractor,5551,0,401
feature_extractor,5359,0,659
feature_extractor,9281,0,624
feature_extractor,6357,0,671
feature_extractor,0,0,531
feature_extractor,3990,0,267
feature_extractor,0,0,282
feature_extractor,0,0,372
feature_extractor,0,0,661
feature_extractor,0,0,393
feature_extractor,0,0,662
feature_extractor,0,0,338
feature_extractor,0,0,487
feature_extractor,0,0,476
feature_extractor,0,0,436
feature_extractor,4760,0,278
feature_extractor,0,0,455
feature_extractor,4261,0,382
feature_extractor,9007,0,556
feature_extractor,0,0,445
feature_extractor,3913,0,270
feature_extractor,0,0,700
feature_extractor,0,0,675
feature_extractor,6349,0,1477
feature_extractor,4408,0,309
feature_extractor,4551,0,346
feature_extractor,5993,0,515
feature_extractor,6640,0,1105
feature_extractor,0,0,231
feature_extractor,4209,0,327
feature_extractor,4584,0,415
feature_extractor,5359,0,514
feature_extractor,0,0,437
feature_extractor,0,0,368
feature_extractor,5016,2879,3481
feature_extractor,3745,1770,2097
feature_extractor,4081,5610,6096
feature_extractor,5035,1288,1683
feature_extractor,2877,1506,1773
feature_extractor,8709,5088,5546
feature_extractor,4186,2883,3289
feature_extractor,5676,2272,2543
feature_extractor,3610,2508,2780
feature_extractor,3145,1387,1693
feature_extractor,4055,1274,1672
feature_extractor,4267,2420,2907,35.83
feature_extractor,4671,2721,3231,37.97
feature_extractor,4417,4549,5154,66.89
feature_extractor,5565,4466,5049,57.08
feature_extractor,2827,2726,3005,36.28
feature_extractor,5612,2164,2692,34.11
feature_extractor,3023,1457,1742,21.48
feature_extractor,3804,2052,2370,29.05
feature_extractor,4052,1820,2118,25.81
feature_extractor,3161,93,412,4.95
feature_extractor,3904,2903,3250,40.55
feature_extractor,4414,4441,5038,55.53
feature_extractor,4964,6125,6612,81.87
feature_extractor,3505,2501,2826,37.29
feature_extractor,4812,1575,2080,23.85
feature_extractor,4154,279,1048,10.54
feature_extractor,2996,4350,4699,58.58
feature_extractor,4270,3017,3563,40.35
feature_extractor,4030,827,1268,14.67
feature_extractor,6099,758,1318,15.60
feature_extractor,4870,2212,2795,34.50
feature_extractor,7853,2594,3103,34.95
feature_extractor,3155,2061,2356,27.38
feature_extractor,3500,3786,4179,55.39
feature_extractor,5103,2079,2335,27.37
feature_extractor,4529,5144,5779,59.62
feature_extractor,3107,274,539,6.56
feature_extractor,3703,1611,1874,23.32
feature_extractor,4914,1384,1983,20.76
feature_extractor,3013,1891,2194,24.90
feature_extractor,3345,3264,3600,41.51
feature_extractor,4838,1806,2059,22.68
feature_extractor,3315,2565,2841,36.32
feature_extractor,5521,1222,1666,18.29
feature_extractor,3582,2131,2498,29.26
feature_extractor,3894,655,1153,12.44
feature_extractor,2991,4290,4533,51.08
feature_extractor,7468,3990,4500,48.16
feature_extractor,3595,2536,2903,27.02
feature_extractor,4639,3836,4356,46.84
feature_extractor,3197,1154,1459,14.29
feature_extractor,7330,4056,4775,46.91
feature_extractor,3538,4423,4825,50.66
feature_extractor,5044,2798,3173,32.08
feature_extractor,4245,3594,4123,38.76
feature_extractor,4565,1271,1707,17.43
feature_extractor,4933,7256,7982,84.36
feature_extractor,3099,2279,2579,26.63
feature_extractor,3368,853,1177,11.76
feature_extractor,2894,2320,2571,33.23
feature_extractor,4754,1502,2051,24.59
feature_extractor,5921,2889,3237,41.14
feature_extractor,3933,1112,1461,16.48
feature_extractor,3947,1426,1751,21.98
feature_extractor,6247,2988,3476,45.00
feature_extractor,4811,2072,2491,30.27
feature_extractor,3790,3113,3469,40.03
feature_extractor,7582,3560,4078,47.45
feature_extractor,3362,1077,1410,16.24
feature_extractor,4024,2753,3119,41.96
feature_extractor,4827,3938,4367,54.47
feature_extractor,4979,3516,3976,52.16
feature_extractor,3605,1382,1735,19.99
feature_extractor,4228,3254,3789,45.87
feature_extractor,3099,1931,2170,30.09
feature_extractor,4811,3140,3690,43.76
feature_extractor,3271,1443,1720,20.77
feature_extractor,5734,2607,2941,38.37
feature_extractor,5231,5819,6276,78.72
feature_extractor,8488,5129,5756,68.66
feature_extractor,3291,3272,3621,45.20
feature_extractor,3853,3585,4069,42.39
feature_extractor,6210,2544,3078,38.19
feature_extractor,3358,1346,1636,19.02
feature_extractor,4478,235,747,7.23
feature_extractor,5221,3107,3465,38.70
feature_extractor,5481,2839,3319,37.70
feature_extractor,2858,591,830,10.05
feature_extractor,6634,2426,2804,36.70
feature_extractor,3122,984,1211,15.13
feature_extractor,3459,1423,1743,17.79
feature_extractor,4711,3101,3396,41.94
feature_extractor,4479,2584,3243,42.94
feature_extractor,3133,326,642,7.76
feature_extractor,6967,3845,4352,54.07
